0	0	3883
0	0	3884
0	1	3885
0	2	3885
0	2	3886
0	3	3887
0	3	3888
1	0	3883
1	0	3889
1	1	3890
1	2	3891
1	2	3892
1	3	3893
1	3	3894
2	0	3895
2	0	3896
2	1	3897
2	2	3898
2	3	3899
2	3	3900
3	0	3895
3	0	3901
3	1	3902
3	2	3903
3	2	3904
3	3	3905
3	3	3906
4	0	3895
4	1	3907
4	2	3908
4	2	3909
4	3	3910
4	3	3911
5	0	3912
5	0	3913
5	1	3914
5	2	3914
5	3	3915
5	3	3916
6	0	3895
6	0	3896
6	1	3917
6	2	3918
6	2	3919
6	3	3920
6	3	3921
7	0	3883
7	0	3889
7	1	3922
7	2	3923
7	2	3924
7	3	3925
7	3	3926
8	0	3912
8	1	3927
8	2	3928
8	2	3929
8	3	3930
8	3	3931
9	0	3912
9	0	3883
9	1	3932
9	2	3933
9	2	3934
9	3	3935
9	3	3936
10	0	3937
10	1	3895
10	1	3901
10	2	3938
10	3	3939
11	0	3895
11	0	3940
11	1	3941
11	2	3941
11	2	3942
11	3	3943
11	3	3944
12	0	3883
12	0	3884
12	1	3945
12	2	3946
12	2	3947
12	3	3948
12	3	3949
13	0	3901
13	1	3950
13	2	3951
13	2	3952
13	3	3953
13	3	3954
14	0	3912
14	0	3883
14	1	3955
14	2	3956
14	2	3957
14	3	3958
14	3	3959
15	0	3913
15	0	3901
15	1	3960
15	2	3961
15	2	3960
15	3	3962
15	3	3963
16	0	3901
16	0	3896
16	1	3964
16	2	3965
16	2	3966
16	3	3967
16	3	3968
17	0	3895
17	1	3969
17	1	3970
17	2	3969
17	2	3970
17	3	3971
17	3	3972
18	0	3895
18	1	3973
18	2	3974
18	2	3973
18	3	3975
18	3	3976
19	0	3912
19	0	3895
19	1	3977
19	2	3978
19	2	3979
19	3	3980
19	3	3981
20	0	3895
20	0	3913
20	1	3982
20	2	3983
20	2	3984
20	3	3985
20	3	3986
21	0	3913
21	0	3901
21	1	3987
21	2	3988
21	2	3989
21	3	3990
21	3	3991
22	0	3912
22	0	3913
22	1	3992
22	2	3993
22	2	3994
22	3	3995
22	3	3996
23	0	3901
23	0	3997
23	1	3998
23	2	3998
23	3	3999
23	3	4000
24	0	3901
24	0	3896
24	1	4001
24	2	4002
24	2	4001
24	3	4003
24	3	4004
25	0	3901
25	1	4005
25	2	4005
25	2	4006
25	3	4007
25	3	4008
26	0	3889
26	0	3901
26	1	4009
26	2	4010
26	3	4011
26	3	4012
27	0	3901
27	0	3896
27	1	4013
27	2	3965
27	2	4014
27	3	4015
27	3	4016
28	0	4017
28	1	4018
28	2	3883
28	2	3901
28	3	4019
28	3	4020
29	0	3913
29	0	3901
29	1	4021
29	2	4022
29	2	4023
29	3	4024
29	3	4025
30	0	3901
30	1	4026
30	2	4027
30	2	3904
30	3	4028
30	3	4029
31	0	4030
31	0	3997
31	1	4031
31	2	4032
31	2	4033
31	3	4034
31	3	4035
32	0	3883
32	0	3896
32	1	4036
32	2	4037
32	2	4036
32	3	4038
32	3	4039
33	0	3889
33	0	3901
33	1	4040
33	2	4041
33	2	4042
33	3	4043
33	3	4044
34	0	3901
34	0	3896
34	1	4045
34	2	4045
34	2	4046
34	3	3966
34	3	4047
35	0	3913
35	0	3901
35	1	4048
35	2	4049
35	2	4048
35	3	4050
35	3	4051
36	0	4052
36	0	4053
36	1	4054
36	2	4055
36	3	4056
36	3	4057
37	0	3889
37	0	3895
37	1	4058
37	2	4059
37	3	4060
37	3	4061
38	0	3895
38	0	3896
38	1	4062
38	2	4062
38	3	4063
38	3	4064
39	0	4065
39	1	3901
39	2	4066
39	3	4067
39	3	4068
40	0	3901
40	0	4069
40	1	4070
40	2	4006
40	2	4071
40	3	4072
40	3	4073
41	0	3912
41	0	3913
41	1	4074
41	1	4075
41	2	4075
41	2	4074
41	3	4076
41	3	4077
42	0	3901
42	1	4078
42	2	4079
42	2	4080
42	3	4081
42	3	4082
43	0	3912
43	0	3883
43	1	4083
43	2	4084
43	2	4085
43	3	4086
43	3	4087
44	0	3895
44	0	3901
44	1	4088
