0	0	0	10
1	1	6	16
2	1	2	15
3	1	4	07
4	1	2	20
5	0	5	09
6	1	3	01
7	1	2	12
8	1	2	17
9	0	3	01
10	0	2	01
11	1	2	12
12	1	4	01
13	1	3	00
14	1	2	07
15	0	3	00
16	1	5	01
17	0	1	03
18	1	0	10
19	1	2	14
20	1	1	16
21	1	1	15
22	1	3	00
23	0	2	07
24	1	1	04
25	1	2	07
26	1	2	11
27	0	2	01
28	1	3	07
29	0	3	07
30	1	6	07
31	0	2	00
32	1	4	03
33	0	1	00
34	1	4	01
35	1	2	03
36	0	2	09
37	0	1	04
38	1	1	04
39	1	4	00
40	0	1	04
41	1	2	08
42	1	2	12
43	1	4	17
44	0	4	16
45	1	1	19
46	1	1	04
47	1	2	04
48	1	1	12
49	0	2	02
50	0	0	10
51	1	1	04
52	1	2	00
53	1	5	01
54	0	3	12
55	1	3	20
56	1	1	19
57	1	2	02
58	0	5	01
59	1	5	01
60	1	2	17
61	0	3	03
62	1	1	04
63	1	1	01
64	1	3	12
65	1	2	18
66	0	5	05
67	1	1	04
68	0	2	01
69	1	1	04
70	1	2	14
71	0	4	00
72	1	1	04
73	1	3	14
74	0	0	10
75	1	3	07
76	1	1	04
77	0	4	01
78	0	4	00
79	1	6	01
80	0	2	00
81	1	2	17
82	0	2	02
83	1	1	04
84	1	1	04
85	0	0	10
86	1	2	14
87	0	4	01
88	0	6	09
89	1	6	13
90	1	3	07
91	0	1	04
92	1	2	17
93	1	2	17
94	1	4	00
95	0	2	16
96	0	3	03
97	0	3	07
98	0	0	10
99	1	3	17
100	0	1	03
101	1	3	19
102	1	4	07
103	1	2	12
104	1	4	12
105	0	3	11
106	1	4	18
107	1	2	12
108	1	4	15
109	1	2	02
110	1	3	15
111	1	2	16
112	1	1	12
113	0	2	02
114	1	2	17
115	1	2	17
116	1	2	17
117	1	3	17
118	0	0	10
119	1	2	11
120	1	3	07
121	0	1	04
122	1	3	09
123	1	6	07
124	1	4	14
125	1	1	09
126	0	4	03
127	1	6	06
128	1	2	11
129	1	3	17
130	1	1	04
131	1	2	17
132	0	2	00
133	1	2	00
134	1	1	04
135	1	1	02
136	0	4	06
137	1	1	20
138	0	2	20
139	0	3	01
140	1	3	13
